;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Oléagineux;1876.746;30.5810621149585;5739.2886;64.5;35.3782945736434;228.19;337.995;32.4986612227992;1098.4385;184.016;29.077351969394;535.0698;124.05;35.755348649738;443.5451;123.23;33.1651383591658;408.694;198.12;29.215096910963;578.8095;109.61;33.6884408356902;369.259;48.445;34.4753844566003;167.016;341.218;29.1760399509991;995.539;262.725;25.8483052621563;679.0996;75.492;29.425833200869;222.1415;7.333;18.3671075957998;13.4686;0.012;15;0.018
Colza;983.119;33.5621242189399;3299.5562;52.26;36.4841178721776;190.666;223.04;35.096081420373;782.783;87;31.2080459770115;271.51;120.04;36.0403282239254;432.6281;115.23;33.4857242037664;385.856;112.665;27.3428305152443;308.058;70.6;35.5134560906516;250.725;46.845;34.8970007471448;163.475;97.301;36.3797288825398;353.9784;29.625;24.1458227848101;71.532;27.19;31.5406399411548;85.759;1.323;19.5442176870748;2.5857;0;0;0
Colza d'hiver;981.66;33.5679471507447;3295.2311;52.21;36.4839111281364;190.4825;222.95;35.0974209464005;782.497;87;31.2080459770115;271.51;119.93;36.0405319769866;432.2341;115.1;33.485664639444;385.42;112.3;27.3481745325022;307.12;70.445;35.5358790545816;250.3325;46.56;34.9012027491409;162.5;97.04;36.405791426216;353.2818;29.625;24.1458227848101;71.532;27.19;31.5406399411548;85.759;1.31;19.5587786259542;2.5622;0;0;0
Colza de printemps;1.459;29.6442769019877;4.3251;0.05;36.7;0.1835;0.09;31.7777777777778;0.286;0;;0;0.11;35.8181818181818;0.394;0.13;33.5384615384615;0.436;0.365;25.6986301369863;0.938;0.155;25.3225806451613;0.3925;0.285;34.2105263157895;0.975;0.261;26.6896551724138;0.6966;0;;0;0;;0;0.013;18.0769230769231;0.0235;0;0;0
Tournesol;690.956;27.4633478832227;1897.5965;8.855;33.2252964426877;29.421;98.185;28.4033711870449;278.8785;59.59;28.4551099177714;169.564;3.09;27;8.343;6.31;29.9809825673534;18.918;72.02;32.9733407386837;237.474;34.34;32.0072801397787;109.913;0.89;20.3258426966292;1.809;194.858;26.3539757156493;513.5283;173.575;24.5423015987325;425.993;33.98;27.8287227781048;94.562;5.263;17.46665399962;9.1927;0;0;0
Soja;156.047;29.0154120233007;452.7768;2.01;28;5.628;3.76;25.1117021276596;9.442;30.41;26.7803354159816;81.439;0.35;27;0.945;0.36;35;1.26;9.42;27.6475583864119;26.044;0.74;26.2162162162162;1.94;0.21;27.8095238095238;0.584;40.244;27.4178262598151;110.3403;55.605;31.5694631777718;175.542;12.377;30.9101559343944;38.2575;0.561;24.1532976827094;1.355;0;0;0
Autres oléagineux;46.624;19.1659016815374;89.3591;1.375;18;2.475;13.01;21.010760953113;27.335;7.016;17.8973774230331;12.5568;0.57;28.5789473684211;1.629;1.33;20;2.66;4.015;18.0161892901619;7.2335;3.93;17;6.681;0.5;22.96;1.148;8.815;20.0703346568349;17.692;3.92;15.3892857142857;6.0326;1.945;18.318766066838;3.563;0.186;18.0215053763441;0.3352;0.012;15;0.018
Protéagineux;330.78;28.2634802587823;934.8994;17.905;31.3225356045797;56.083;44.68;27.4607206803939;122.6945;35.53;23.3001688713763;82.7855;20.11;32.1051715564396;64.5635;30.85;31.7961102106969;98.091;54.63;30.6765513454146;167.586;19.665;32.0363590134757;62.9995;7.79;31.8870346598203;24.84;57.126;25.5202709799391;145.7871;36.395;26.3672207720841;95.9635;5.607;22.0961298377029;12.3893;0.482;22.7385892116183;1.096;0.01;20.5;0.0205
Féveroles (et fèves);78.289;23.0300680810842;180.3001;3.635;29.3039889958735;10.652;13.56;24.0523598820059;32.615;5.475;17.7488584474886;9.7175;5.48;38.3138686131387;20.996;4.33;33.972286374134;14.71;3.03;26.7359735973597;8.101;7.07;23.5855728429986;16.675;3.03;26.5016501650165;8.03;15.127;19.2765254181265;29.1596;16.445;16.7400425661295;27.529;0.968;18.0289256198347;1.7452;0.134;26.7388059701493;0.3583;0.005;23;0.0115
Pois protéagineux;246.462;30.0650282802217;740.9887;14.235;31.8535300316122;45.3435;30.73;29.0081353726001;89.142;29.925;24.3174603174603;72.77;14.245;29.7978237978238;42.447;26.43;31.4457056375331;83.111;51.56;30.9154383242824;159.4;11.245;38.4477545575811;43.2345;4.45;35.5056179775281;15.8;39.098;28.2437464831961;110.4274;19.645;34.6602188852125;68.09;4.546;23.0457545094589;10.4766;0.348;21.198275862069;0.7377;0.005;18;0.009
Lupin doux;6.029;22.5752197711063;13.6106;0.035;25;0.0875;0.39;24.0384615384615;0.9375;0.13;22.9230769230769;0.298;0.385;29.1038961038961;1.1205;0.09;30;0.27;0.04;21.25;0.085;1.35;22.8888888888889;3.09;0.31;32.5806451612903;1.01;2.901;21.3722854188211;6.2001;0.305;11.2950819672131;0.3445;0.093;18.010752688172;0.1675;0;0;0;0;0;0
Betteraves industrielles;407.226;833.900180735022;33958.5835;40.745;820.051540066266;3341.3;26.7;864.98127340824;2309.5;2.3;800;184;28.75;899.369043478261;2585.686;203.6;844.397838899804;17191.94;103.941;793.392260994218;8246.5985;1.19;836.63025210084;99.559;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;0;0
Pommes de terre de féculerie;22.57;435.436420026584;982.78;0.87;468.505747126437;40.76;0;0;0;0;;0;1.23;411.520325203252;50.617;15.3;427.237254901961;653.673;5.16;460;237.36;0;0;0;0.01;370;0.37;0;;0;0;;0;0;;0;0;0;0;0;0;0
Pommes de terre de conservation et demi-saison;153.63;420.709490333919;6463.3599;3.807;477;181.5939;13.62;481.02422907489;655.155;0.779;440.256739409499;34.296;13.66;419.165446559297;572.58;94.48;426.490050804403;4029.478;15.38;429.388816644993;660.4;0.985;294.883248730965;29.046;4.8;259.416666666667;124.52;2.348;283.356899488927;66.5322;0.66;269.833333333333;17.809;2.575;290.097087378641;74.7;0.536;321.824626865672;17.2498;0;0;0
Maïs fourrage;1276.36;135.278847660535;17266.451;1.655;99.4924471299094;16.466;29.5;130.11186440678;383.83;51.15;136.557184750733;698.49;234.53;143.536221378928;3366.355;109.81;156.890082870413;1722.81;170.8;121.633489461358;2077.5;203.5;146.472432432432;2980.714;262;136.610687022901;3579.2;88.04;118.256985461154;1041.1345;41.921;98.7344290451087;413.9046;82.94;118.369905956113;981.76;0.389;78.0694087403599;3.0369;0.125;100;1.25
