;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Colza d'hiver;1113.518;29.0405381861811;3233.7162;60.565;33.7533228762487;204.427;195.285;29.7817548710859;581.593;91.2;28.6337719298246;261.14;120.2;29.4341098169717;353.798;136.7;33.8441843452816;462.65;233.67;27.2812085419609;637.48;71.405;27.131083257475;193.7295;52.02;27.4134948096886;142.605;86.713;27.4330723190294;237.8804;36.67;22.0837196618489;80.981;28.12;26.9694167852063;75.838;0.97;16.4360824742268;1.5943;0;0;0
Colza de printemps;2.514;24.5306284805092;6.167;0.07;33.4285714285714;0.234;0.145;25.8965517241379;0.3755;0;0;0;0.06;30;0.18;0.19;34.7368421052632;0.66;0.235;24.7872340425532;0.5825;0.27;16.8333333333333;0.4545;0.78;25.4487179487179;1.985;0.666;22.7327327327327;1.514;0.08;18.8125;0.1505;0;0;0;0.018;17.2222222222222;0.031;0;0;0
Tournesol;774.675;20.8133359150612;1612.3571;6.18;28.4983818770227;17.612;117.87;22.4044710274031;264.0815;54.9;23.3151183970856;128;2.14;22;4.708;2.73;32.4249084249084;8.852;46.41;22.8789054083172;106.181;51.39;22.282545242265;114.51;0.585;20.034188034188;1.172;250.467;20.1199678999629;503.9388;200.29;18.5685755654301;371.91;33.96;23.0756772673734;78.365;7.753;16.8022700889978;13.0268;0;0;0
Soja;185.939;22.6640564916451;421.4132;2.795;28;7.826;6.06;23.2161716171617;14.069;38;16.0842105263158;61.12;0.325;22;0.715;0.27;30;0.81;12.6;22.5325396825397;28.391;1.065;22.5305164319249;2.3995;0.253;25.197628458498;0.6375;45.35;25.5310915104741;115.7835;64.585;23.3045598823256;150.5125;14.047;26.8256567238556;37.682;0.589;24.9100169779287;1.4672;0;0;0
Autres oléagineux;41.094;17.6585146250061;72.5659;1.205;18;2.169;11.28;19.895390070922;22.442;7.44;13.494623655914;10.04;0.56;23.9285714285714;1.34;1.24;21.5403225806452;2.671;2.03;16.4211822660099;3.3335;3.185;16.4442700156986;5.2375;0.405;25.5432098765432;1.0345;7.389;19.7653268371904;14.6046;4.54;14.2566079295154;6.4725;1.593;17.7407407407407;2.8261;0.215;17.5441860465116;0.3772;0.012;15;0.018
Protéagineux;309.832;25.5171512303442;790.603;18.45;30.7831978319783;56.795;45.49;22.9783468894262;104.5285;40.143;15.5571581595795;62.4511;21.39;28.8887330528284;61.793;29.91;35.5673687729856;106.382;44.433;29.8919721828371;132.819;19.2;24.9799479166667;47.9615;8.8;34.0909090909091;30;48.636;26.3584381939304;128.1969;26.44;17.2288199697428;45.553;6.524;20.3678724708768;13.288;0.406;20.0615763546798;0.8145;0.01;20.5;0.0205
Féveroles (et fèves);76.235;19.4175509936381;148.0297;6.13;21.347471451876;13.086;13.385;18.2551363466567;24.4345;6.555;9.27536231884058;6.08;6.49;25.5100154083205;16.556;5.81;38.1394148020654;22.159;3.613;24.2291724328813;8.754;5.15;16.2873786407767;8.388;3.34;30.0898203592814;10.05;12.71;18.0288749016522;22.9147;11.885;11.7715607909129;13.9905;1.07;12.7009345794393;1.359;0.092;26.7934782608696;0.2465;0.005;23;0.0115
Pois protéagineux;227.731;27.6506053194339;629.69;12.3;35.4951219512195;43.659;31.815;24.964167845356;79.4235;33.507;16.7784642015101;56.2196;14.72;30.3783967391304;44.717;24.01;34.9658475635152;83.953;40.78;30.3984796468857;123.965;12.7;28.7767716535433;36.5465;5.07;36.8836291913215;18.7;32.915;30.0631626917819;98.9529;14.24;21.9108146067416;31.201;5.355;21.9897292250233;11.7755;0.314;18.0891719745223;0.568;0.005;18;0.009
Lupin doux;5.866;21.9626662120696;12.8833;0.02;25;0.05;0.29;23.1206896551724;0.6705;0.081;18.7037037037037;0.1515;0.18;28.8888888888889;0.52;0.09;30;0.27;0.04;25;0.1;1.35;22.4222222222222;3.027;0.39;32.0512820512821;1.25;3.011;21.0205911657257;6.3293;0.315;11.4761904761905;0.3615;0.099;15.5050505050505;0.1535;0;0;0;0;0;0
Betteraves industrielles;419.146;626.911768214417;26276.756;43.36;398.4375;1727.625;29.9;474.816053511706;1419.7;2.6;467;121.42;27.205;786.355449365925;2139.28;208.2;660.984630163305;13761.7;106.656;658.665804080408;7025.066;1.225;669.102040816327;81.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pommes de terre de féculerie;23.86;435.164291701593;1038.302;1.04;470;48.88;0;0;0;0;0;0;1.18;394.745762711864;46.58;16.01;452.181136789507;723.942;5.63;388.809946714032;218.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pommes de terre de conservation et demi-saison;159.977;430.887777618033;6893.2134;3.962;480;190.176;12.87;480.726495726496;618.695;0.894;404.026845637584;36.12;13.37;406.686611817502;543.74;102.38;433.136550107443;4434.452;15;500.68;751.02;1.02;294.813725490196;30.071;5.02;267.330677290837;134.2;2.598;318.767513471901;82.8158;0;0;0;2.02;233.178217821782;47.102;0.618;326.967637540453;20.2066;0;0;0
Maïs fourrage;1412.042;117.228696455205;16553.1843;1.61;99.4658385093168;16.014;34.335;80.5315275957478;276.505;54.1;79.4417744916821;429.78;236.58;127.640544424719;3019.72;107.5;151.026046511628;1623.53;165.45;92.9268661226957;1537.475;267.77;130.282219815513;3488.567;302.7;128.477039973571;3889;103.912;109.292160674417;1135.6767;43.265;82.3545591124466;356.307;94.27;82.3212050493264;776.042;0.425;78.0611764705882;3.3176;0.125;100;1.25
Jachères;438.672;0;0;20.232;0;0;92.935;0;0;31.365;0;0;10.55;0;0;23.3;0;0;34.43;0;0;12.575;0;0;7.78;0;0;125.275;0;0;35.86;0;0;24.09;0;0;18.86;0;0;1.42;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
